Activity;Subactivity;Method;Need quick results;Very restricted budget;Usability important;Uncertain specification;Difficult to involve users;No access to users;Some users have disabilities;Mostly first time users;Complex task;Many tasks;Safety or business critical system;Organisational changes needed;Efficiency or accuracy is important;Adaptation of an existing system;A well understood product;Customisable product;General purpose: used in many different contexts;No usability expertise available;
Understanding needs;Design options;Develop simulations;1;1;5;3;5;5;2;3;5;3;5;3;5;2;1;3;3;4;3;3;3;3;
Understanding needs;Design options;Parallel design (tiger testing);2;2;5;5;3;3;3;3;5;4;4;3;4;3;3;3;4;3;3;3;3;3;
Requirements;Context requirements;Define the intended context of use including boundaries;3;4;5;5;4;4;3;3;5;5;5;5;3;3;2;3;5;3;3;3;3;3;
Requirements;User requirements;Scenarios;4;4;5;5;3;3;3;3;5;3;5;5;5;4;3;3;4;3;3;3;3;3;
Requirements;User requirements;Personas;3;3;4;5;5;5;4;3;3;3;4;4;3;4;3;3;4;2;3;3;3;3;
Requirements;User requirements;Storyboards;2;2;4;5;4;4;3;3;3;3;3;3;3;3;2;3;3;3;3;3;3;3;
Requirements;User requirements;Establish performance and satisfaction goals for specific scenarios of use;3;3;5;5;3;3;4;3;3;3;5;3;5;4;3;3;4;3;3;3;3;3;
Requirements;User requirements;Define detailed user interface requirements;3;3;4;2;3;3;4;3;3;3;3;3;4;3;3;3;4;3;3;3;3;3;
Requirements;User requirements;Prioritize requirements;3;3;5;5;3;3;3;3;5;5;5;5;5;3;2;3;4;3;3;3;3;3;
Analyse requirements;Analyse requirements;Identify and analyse success critical stakeholder requirements;3;4;5;3;3;3;3;3;3;4;5;5;3;4;2;3;5;4;3;3;3;3;
Analyse requirements;Analyse requirements;Common industry specification for usability requirements;3;3;5;5;3;3;4;4;4;5;5;5;5;3;3;3;4;2;3;3;3;3;
Analyse requirements;Analyse requirements;SWOT analysis;4;3;4;3;3;3;3;3;4;4;4;3;3;3;2;3;4;3;3;3;3;3;
Analyse requirements;Analyse requirements;Quality function deployment (QDF);2;2;4;3;3;3;3;3;4;4;4;4;3;3;2;3;4;2;3;3;3;3;
Design/development;High level design;Function allocation/Task allocation;3;3;5;5;3;3;3;3;5;5;5;5;3;3;2;3;3;2;3;3;3;3;
Design/development;High level design;Generate design options;2;2;5;5;3;3;3;3;5;5;4;4;3;2;2;3;4;3;3;3;3;3;
Design/development;High level design;Physical ergonomics;3;3;4;3;4;4;4;3;3;3;4;3;3;3;2;3;3;2;3;3;3;3;
Design/development;High level design;Participatory design;2;2;5;5;2;1;4;4;4;4;5;5;4;3;3;4;4;3;
Design/development;High level design;User interface guidelines and standards;4;4;5;3;4;4;4;3;3;3;4;3;4;3;3;3;3;3;3;3;3;3;
Design/development;High level design;Questions, options and criteria;4;4;4;3;3;3;3;3;4;4;4;4;3;3;3;3;4;2;3;3;3;3;
Design/development;Prototyping;Develop prototypes;5;5;5;5;2;1;3;4;5;5;5;4;5;4;2;4;3;3;3;3;3;3;
Design/development;Prototyping;Develop simulations;1;1;5;3;5;5;2;3;5;3;5;3;5;2;1;3;3;4;3;3;3;3;
Design/development;Prototyping;Wireframe;5;5;5;5;3;2;3;4;5;5;5;3;5;3;3;3;3;4;5;1;1;1;
Design/development;Usability evaluation;Card sorting;4;4;5;5;2;1;3;3;3;2;4;3;4;3;2;3;3;3;3;3;3;3;
Design/development;Usability evaluation;Claims analysis;2;2;4;3;3;3;3;3;3;3;3;3;3;3;2;3;3;2;3;3;3;3;
Design/development;Usability evaluation;Cognitive walkthrough;2;3;4;3;3;3;3;4;3;3;4;3;4;3;2;3;3;1;3;3;3;3;
Design/development;Usability evaluation;Critical incident technique;4;4;4;3;2;1;3;3;3;3;4;3;3;3;3;3;3;2;3;3;3;3;
Design/development;Usability evaluation;Formative evaluation;4;5;4;5;2;1;3;4;3;3;5;4;4;3;4;3;3;3;3;3;3;3;
Design/development;Usability evaluation;Summative evaluation;2;2;5;2;2;1;3;4;3;3;5;3;5;3;3;3;3;1;3;3;3;3;
Design/development;Usability evaluation;Usability walkthrough;4;5;4;4;3;3;3;3;3;3;4;4;4;3;4;3;3;2;3;3;3;3;
Design/development;Usability evaluation;Remote evaluation;4;3;4;3;2;1;3;4;3;3;3;3;3;3;3;3;3;1;3;3;3;3;
Design/development;Usability evaluation;Satisfaction questionnaire;4;5;5;3;2;1;3;3;3;3;4;4;3;3;3;3;3;3;3;3;3;3;
Design/development;Usability evaluation;Wizard of Oz;2;2;3;4;2;1;3;4;3;3;3;3;3;3;2;3;3;2;3;3;3;3;
Design/development;Human resources;Work domain analysis;1;1;5;5;4;4;3;3;5;5;5;3;5;3;2;3;3;2;1;3;1;3;
Design/development;Human resources;Task analysis;2;2;5;5;5;5;3;3;4;4;5;3;5;3;2;3;3;2;3;3;3;3;
Design/development;Human resources;Participatory design;2;2;5;5;2;1;4;4;4;4;5;5;4;3;3;4;4;3;3;3;3;3;
Design/development;Human resources;Workload assessment;3;2;4;3;2;1;3;3;4;5;5;3;5;3;2;3;4;1;3;3;1;3;
Design/development;Human resources;Human performance model;1;1;4;3;4;4;3;3;4;4;5;3;5;3;2;3;4;1;1;3;1;3;
